"100bp_paired" "50bp_paired" "100bp_single" "50bp_single"
"2482" "BnaC05g13500D" "BnaA06g15580D" "BnaCnng34110D" "BnaA06g15290D"
"2483" "BnaC03g11960D" "BnaA03g45240D" "BnaC07g17220D" "BnaA06g32400D"
"2484" "BnaCnng10620D" "BnaA10g23360D" "BnaA01g11660D" "BnaC01g32060D"
"2485" "BnaC09g03410D" "BnaA10g02940D" "BnaA08g20670D" "BnaC03g12990D"
"2486" "BnaA02g03860D" "BnaC02g42440D" "BnaA06g32400D" "BnaA09g08750D"
"2487" "BnaC02g01050D" "BnaC08g03050D" "BnaAnng17810D" "BnaA09g40640D"
"2488" "BnaC01g00710D" "BnaAnng28340D" "BnaA02g30180D" "BnaA03g26420D"
"2489" "BnaC03g04790D" "BnaC08g02820D" "BnaA02g13670D" "BnaA06g18640D"
"2490" "BnaA08g27370D" "BnaA06g31430D" "BnaA10g18840D" "BnaA06g24740D"
"2491" "BnaA07g28910D" "BnaC06g33400D" "BnaC05g13040D" "BnaAnng18930D"
"2492" "BnaA09g45240D" "BnaC02g42100D" "BnaA01g22040D" "BnaC03g45810D"
"2493" "BnaCnng46670D" "BnaCnng02980D" "BnaC03g25470D" "BnaC02g01070D"
"2494" "BnaA03g42690D" "BnaC02g09560D" "BnaC06g20650D" "BnaA10g26020D"
"2495" "BnaA06g21910D" "BnaC08g37110D" "BnaC04g05830D" "BnaA08g25530D"
"2496" "BnaA08g01090D" "BnaC06g27020D" "BnaA08g13700D" "BnaA10g03240D"
"2497" "BnaC07g30010D" "BnaC03g66950D" "BnaA02g03480D" "BnaC05g00380D"
"2498" "BnaC02g42680D" "BnaAnng31130D" "BnaA10g15480D" "BnaA03g48340D"
"2499" "BnaA04g21430D" "BnaA06g23170D" "BnaC03g37960D" "BnaA10g17990D"
"2500" "BnaA10g02360D" "BnaC02g00470D" "BnaC04g41260D" "BnaC02g42810D"
"2501" "BnaA07g14880D" "BnaA01g22040D" "BnaA08g11190D" "BnaC07g20680D"
"2502" "BnaA03g40620D" "BnaA03g04690D" "BnaC08g43690D" "BnaA03g37260D"
"2503" "BnaC07g39190D" "BnaCnng30870D" "BnaC02g05690D" "BnaA08g23840D"
"2504" "BnaA06g10340D" "BnaA04g17810D" "BnaA10g24670D" "BnaA08g27970D"
"2505" "BnaC09g39260D" "BnaC01g09380D" "BnaA03g55270D" "BnaA03g52570D"
"2506" "BnaA05g23450D" "BnaC01g44900D" "BnaA10g07150D" "BnaA01g33330D"
"2507" "BnaA08g11190D" "BnaA09g11010D" "BnaC03g64940D" "BnaA02g02620D"
"2508" "BnaC02g22400D" "BnaAnng03280D" "BnaA01g29730D" "BnaC02g34740D"
"2509" "BnaC01g36400D" "BnaC08g27440D" "BnaA06g29740D" "BnaA09g29460D"
"2510" "BnaC07g34240D" "BnaC03g01160D" "BnaCnng03520D" "BnaA03g25380D"
"2511" "BnaA06g07120D" "BnaC02g45240D" "BnaCnng71030D" "BnaC04g45750D"
"2512" "BnaAnng34630D" "BnaAnng14640D" "BnaA01g30410D" "BnaA06g16210D"
"2513" "BnaA05g36300D" "BnaC02g32220D" "BnaC06g43010D" "BnaA06g01470D"
"2514" "BnaC03g03980D" "BnaA09g11150D" "BnaA07g31880D" "BnaA09g19000D"
"2515" "BnaA01g15640D" "BnaA09g46300D" "BnaCnng05870D" "BnaC07g07010D"
"2516" "BnaA09g40720D" "BnaC02g01070D" "BnaC08g45200D" "BnaA06g00900D"
"2517" "BnaC02g42440D" "BnaC01g36120D" "BnaA09g03780D" "BnaC02g48490D"
"2518" "BnaC03g12390D" "BnaC04g36290D" "BnaA10g00320D" "BnaA06g17950D"
"2519" "BnaA03g28140D" "BnaC08g40410D" "BnaA08g29450D" "BnaC02g35150D"
"2520" "BnaC03g28190D" "BnaA07g35400D" "BnaC06g33400D" "BnaA09g56330D"
"2521" "BnaC03g04840D" "BnaA10g07150D" "BnaA02g07550D" "BnaA03g04230D"
"2522" "BnaC08g40470D" "BnaC06g19610D" "BnaC08g40320D" "BnaC02g31690D"
"2523" "BnaA05g20460D" "BnaC02g38400D" "BnaC09g50790D" "BnaC03g48560D"
"2524" "BnaA04g07330D" "BnaC03g00330D" "BnaC05g48780D" "BnaA07g39000D"
"2525" "BnaA02g11410D" "BnaC03g00350D" "BnaA06g39840D" "BnaA10g16630D"
"2526" "BnaCnng69670D" "BnaA01g33320D" "BnaA05g06370D" "BnaA02g32880D"
"2527" "BnaC07g06470D" "BnaC07g17220D" "BnaA02g36470D" "BnaC08g43710D"
"2528" "BnaA09g10990D" "BnaCnng01130D" "BnaC09g03410D" "BnaC03g04790D"
"2529" "BnaC01g03520D" "BnaCnng51080D" "BnaC01g00710D" "BnaC09g14490D"
"2530" "BnaC07g10560D" "BnaA07g26010D" "BnaC01g09710D" "BnaA07g28810D"
"2531" "BnaA05g02120D" "BnaC06g41940D" "BnaC03g66950D" "BnaA01g23420D"
"2532" "BnaC03g00520D" "BnaA10g16630D" "BnaA06g10700D" "BnaA03g32290D"
"2533" "BnaC07g24970D" "BnaC08g26570D" "BnaC09g02850D" "BnaA10g15990D"
"2534" "BnaA03g26110D" "BnaC01g36330D" "BnaA03g39030D" "BnaA06g11370D"
"2535" "BnaA05g33050D" "BnaA01g29050D" "BnaA08g00090D" "BnaC03g05630D"
"2536" "BnaA02g24830D" "BnaC04g22890D" "BnaC07g21120D" "BnaAnng32380D"
"2537" "BnaC05g22760D" "BnaA09g09770D" "BnaA07g26020D" "BnaA04g13520D"
"2538" "BnaC03g01560D" "BnaC07g30010D" "BnaA03g03730D" "BnaC03g25510D"
"2539" "BnaA06g16210D" "BnaA02g10220D" "BnaC01g38690D" "BnaA07g08030D"
"2540" "BnaC03g08280D" "BnaA06g22330D" "BnaC07g10250D" "BnaC09g10680D"
"2541" "BnaC03g71360D" "BnaA04g08730D" "BnaA01g33320D" "BnaA08g28040D"
"2542" "BnaA09g49550D" "BnaA02g02630D" "BnaA05g20700D" "BnaC03g08920D"
"2543" "BnaA02g13650D" "BnaCnng02740D" "BnaA01g23420D" "BnaC02g01730D"
"2544" "BnaC03g04580D" "BnaC09g10830D" "BnaA02g04100D" "BnaC03g30050D"
"2545" "BnaA08g07670D" "BnaC04g37820D" "BnaC06g29350D" "BnaC02g42820D"
"2546" "BnaC08g45440D" "BnaA03g17040D" "BnaC03g00250D" "BnaAnng12690D"
"2547" "BnaC02g26420D" "BnaC04g05830D" "BnaA05g01940D" "BnaC03g02760D"
"2548" "BnaA08g11290D" "BnaAnng36100D" "BnaA09g43530D" "BnaAnng36100D"
"2549" "BnaC03g46030D" "BnaA04g22020D" "BnaC08g45340D" "BnaAnng14640D"
"2550" "BnaA08g03660D" "BnaC07g38870D" "BnaC07g10560D" "BnaA07g17010D"
"2551" "BnaAnng17890D" "BnaA06g21030D" "BnaC06g12180D" "BnaC06g36860D"
"2552" "BnaC09g02020D" "BnaC07g33640D" "BnaC01g38970D" "BnaC06g40530D"
"2553" "BnaA05g35350D" "BnaA05g36300D" "BnaA09g03860D" "BnaC05g01860D"
"2554" "BnaC02g07280D" "BnaA08g21280D" "BnaC02g36490D" "BnaA09g50240D"
"2555" "BnaC01g38950D" "BnaCnng05900D" "BnaA03g55720D" "BnaC01g13560D"
"2556" "BnaAnng25870D" "BnaA03g42030D" "BnaA04g24360D" "BnaC08g40410D"
"2557" "BnaC03g02410D" "BnaCnng68400D" "BnaC07g43920D" "BnaA10g26040D"
"2558" "BnaC08g37110D" "BnaA09g42540D" "BnaC02g33590D" "BnaA03g26820D"
"2559" "BnaC02g38450D" "BnaA05g25460D" "BnaC07g39280D" "BnaA02g30180D"
"2560" "BnaC03g19450D" "BnaC01g02610D" "BnaC04g12070D" "BnaUnng01130D"
"2561" "BnaC01g01460D" "BnaA07g14930D" "BnaCnng66250D" "BnaA03g53090D"
"2562" "BnaC02g00730D" "BnaA09g01150D" "BnaCnng54340D" "BnaA01g15100D"
"2563" "BnaA01g01910D" "BnaA07g20450D" "BnaC09g39740D" "BnaA03g53230D"
"2564" "BnaAnng28340D" "BnaC03g46100D" "BnaA09g50240D" "BnaC07g48400D"
"2565" "BnaC05g36830D" "BnaA06g19020D" "BnaA02g01810D" "BnaAnng07420D"
"2566" "BnaC03g02770D" "BnaC04g53510D" "BnaA01g18410D" "BnaC03g63910D"
"2567" "BnaC02g00410D" "BnaA01g12860D" "BnaA07g34270D" "BnaC08g45800D"
"2568" "BnaAnng09400D" "BnaC07g21120D" "BnaA05g10670D" "BnaC06g35910D"
"2569" "BnaC07g16170D" "BnaC02g02220D" "BnaA02g04110D" "BnaCnng03890D"
"2570" "BnaC03g01520D" "BnaA06g38610D" "BnaA02g16920D" "BnaA07g09610D"
"2571" "BnaA09g43200D" "BnaC02g01340D" "BnaA06g32520D" "BnaA03g55150D"
"2572" "BnaC08g36760D" "BnaA09g15680D" "BnaC03g01690D" "BnaC04g26140D"
"2573" "BnaCnng03410D" "BnaC02g02870D" "BnaA09g11150D" "BnaC03g08310D"
"2574" "BnaC09g26550D" "BnaC08g44950D" "BnaC09g13450D" "BnaA10g22570D"
"2575" "BnaA01g22170D" "BnaC03g12430D" "BnaCnng51080D" "BnaA03g17990D"
"2576" "BnaA07g29260D" "BnaA07g33550D" "BnaA06g21560D" "BnaC07g16170D"
"2577" "BnaC09g01880D" "BnaA03g05550D" "BnaCnng08800D" "BnaC03g71890D"
"2578" "BnaA02g03480D" "BnaC07g03580D" "BnaC08g43760D" "BnaC07g42720D"
"2579" "BnaC02g03410D" "BnaA01g14270D" "BnaA09g40190D" "BnaC03g01730D"
"2580" "BnaAnng42010D" "BnaA08g11860D" "BnaA09g19930D" "BnaA08g01090D"
"2581" "BnaA06g24000D" "BnaC04g07000D" "BnaA05g33050D" "BnaC05g03940D"
"2582" "BnaAnng21170D" "BnaC05g03940D" "BnaC07g13620D" "BnaA04g10500D"
"2583" "BnaA01g32200D" "BnaCnng38900D" "BnaCnng10530D" "BnaA08g16750D"
"2584" "BnaA10g02940D" "BnaC08g43680D" "BnaC04g29840D" "BnaA05g33490D"
"2585" "BnaA10g24250D" "BnaC08g08280D" "BnaA10g16730D" "BnaC05g06270D"
"2586" "BnaA06g07940D" "BnaA03g10640D" "BnaA04g13830D" "BnaA03g03070D"
"2587" "BnaCnng48290D" "BnaA03g47700D" "BnaC07g42720D" "BnaA09g49550D"
"2588" "BnaA01g20040D" "BnaA05g07820D" "BnaAnng31090D" "BnaAnng02470D"
"2589" "BnaA06g18440D" "BnaA08g01570D" "BnaCnng33260D" "BnaA09g01340D"
"2590" "BnaC03g67490D" "BnaCnng10530D" "BnaC02g07850D" "BnaAnng32160D"
"2591" "BnaA09g56160D" "BnaC02g05930D" "BnaAnng21590D" "BnaA03g00890D"
"2592" "BnaC05g50910D" "BnaA01g09840D" "BnaC02g38400D" "BnaA05g29970D"
"2593" "BnaC03g64940D" "BnaC03g25610D" "BnaC08g03050D" "BnaAnng21170D"
"2594" "BnaC08g41500D" "BnaC07g13160D" "BnaC03g03140D" "BnaC04g26390D"
"2595" "BnaC02g29440D" "BnaC06g08050D" "BnaA04g17810D" "BnaC03g43290D"
"2596" "BnaC01g17150D" "BnaC03g03910D" "BnaC08g32580D" "BnaC01g15210D"
"2597" "BnaC08g07100D" "BnaC09g39060D" "BnaA03g45020D" "BnaA05g33500D"
"2598" "BnaA09g56330D" "BnaAnng31090D" "BnaC02g22400D" "BnaC03g04580D"
"2599" "BnaC02g31140D" "BnaA02g03490D" "BnaC06g10090D" "BnaAnng19910D"
"2600" "BnaA09g09750D" "BnaA08g20590D" "BnaC03g05020D" "BnaCnng66600D"
"2601" "BnaC05g49840D" "BnaA06g24940D" "BnaA01g00910D" "BnaAnng15450D"
"2602" "BnaA09g26320D" "BnaAnng33900D" "BnaA09g42540D" "BnaC03g77130D"
"2603" "BnaA08g20670D" "BnaA02g02590D" "BnaC06g35510D" "BnaA09g40750D"
"2604" "BnaC03g03650D" "BnaC02g42680D" "BnaC06g31930D" "BnaA03g54480D"
"2605" "BnaA09g01280D" "BnaCnng05510D" "BnaA09g09770D" "BnaC08g43970D"
"2606" "BnaA06g11370D" "BnaC03g00100D" "BnaAnng40490D" "BnaC02g42120D"
"2607" "BnaA06g18050D" "BnaAnng15450D" "BnaA09g03400D" "BnaCnng41730D"
"2608" "BnaA02g10330D" "BnaC02g02530D" "BnaA04g04810D" "BnaC04g32470D"
"2609" "BnaC04g03820D" "BnaA02g24830D" "BnaA07g14880D" "BnaC04g49390D"
"2610" "BnaA04g08640D" "BnaC04g04450D" "BnaA07g28910D" "BnaC07g13770D"
"2611" "BnaC04g19680D" "BnaAnng31580D" "BnaC02g06100D" "BnaC08g35200D"
"2612" "BnaA08g29810D" "BnaA10g26020D" "BnaA07g32610D" "BnaCnng02830D"
"2613" "BnaC04g33980D" "BnaA03g47240D" "BnaA07g22760D" "BnaCnng37100D"
"2614" "BnaC07g12960D" "BnaA09g16970D" "BnaA06g21300D" "BnaA05g32560D"
"2615" "BnaC03g00730D" "BnaA04g29030D" "BnaAnng03280D" "BnaC03g76510D"
"2616" "BnaC08g44860D" "BnaA03g02570D" "BnaAnng05750D" "BnaA06g23170D"
"2617" "BnaC07g01480D" "BnaA08g13700D" "BnaA02g10900D" "BnaA03g52440D"
"2618" "BnaC07g17990D" "BnaC06g38690D" "BnaA02g24390D" "BnaC03g01160D"
"2619" "BnaC02g01630D" "BnaA08g01090D" "BnaC02g09560D" "BnaA06g02600D"
"2620" "BnaC03g08310D" "BnaC08g44100D" "BnaAnng08470D" "BnaC03g33030D"
"2621" "BnaC03g11980D" "BnaA09g29320D" "BnaA01g20350D" "BnaA07g20950D"
"2622" "BnaA06g14670D" "BnaAnng22680D" "BnaC04g55900D" "BnaC02g08520D"
"2623" "BnaA09g51160D" "BnaC08g40330D" "BnaA09g51160D" "BnaC09g50410D"
"2624" "BnaC03g69300D" "BnaC02g07190D" "BnaC01g12960D" "BnaCnng03960D"
"2625" "BnaC07g26380D" "BnaC07g21730D" "BnaA03g55530D" "BnaA09g01280D"
"2626" "BnaC02g44150D" "BnaC02g25120D" "BnaAnng07420D" "BnaA07g14880D"
"2627" "BnaC02g27290D" "BnaCnng03410D" "BnaA06g18050D" "BnaC03g66950D"
"2628" "BnaC09g01930D" "BnaA05g31850D" "BnaC08g14670D" "BnaA04g21430D"
"2629" "BnaC02g39500D" "BnaC01g01460D" "BnaAnng21640D" "BnaC04g30250D"
"2630" "BnaA09g15570D" "BnaC08g43760D" "BnaC03g20960D" "BnaA06g05010D"
"2631" "BnaA01g31030D" "BnaC08g26180D" "BnaC04g16920D" "BnaC02g06950D"
"2632" "BnaC08g43710D" "BnaC06g35330D" "BnaC01g03520D" "BnaA10g11030D"
"2633" "BnaC03g43890D" "BnaA01g29730D" "BnaA03g02910D" "BnaA02g03620D"
"2634" "BnaC05g11070D" "BnaA10g27660D" "BnaC03g32030D" "BnaC07g21120D"
"2635" "BnaC09g32510D" "BnaA10g25540D" "BnaA03g02620D" "BnaCnng68400D"
"2636" "BnaC02g41490D" "BnaA01g00910D" "BnaC03g00100D" "BnaA09g10460D"
"2637" "BnaA10g02080D" "BnaA09g53300D" "BnaUnng02030D" "BnaC02g01500D"
"2638" "BnaA03g15740D" "BnaC04g27900D" "BnaC03g02760D" "BnaA09g03820D"
"2639" "BnaA03g28360D" "BnaC08g40470D" "BnaC08g32280D" "BnaA01g11660D"
"2640" "BnaA05g32560D" "BnaA06g20630D" "BnaA07g08030D" "BnaC03g36640D"
"2641" "BnaC03g30050D" "BnaA04g10460D" "BnaA04g15180D" "BnaC04g53510D"
"2642" "BnaC01g03130D" "BnaA04g18670D" "BnaA01g05280D" "BnaA03g00360D"
"2643" "BnaC02g00180D" "BnaA04g05750D" "BnaC08g45030D" "BnaA07g17770D"
"2644" "BnaC09g03360D" "BnaC04g00620D" "BnaCnng41910D" "BnaA09g05110D"
"2645" "BnaC02g02530D" "BnaAnng40490D" "BnaCnng03590D" "BnaA04g23520D"
"2646" "BnaA03g02040D" "BnaC02g01360D" "BnaA07g20450D" "BnaA01g22940D"
"2647" "BnaAnng17970D" "BnaA04g16310D" "BnaA06g21030D" "BnaA02g03070D"
"2648" "BnaC03g03720D" "BnaCnng66250D" "BnaA02g35170D" "BnaA09g19930D"
"2649" "BnaA03g02300D" "BnaA06g40740D" "BnaC04g27900D" "BnaCnng38880D"
"2650" "BnaA04g14660D" "BnaC01g38990D" "BnaA02g00910D" "BnaA06g30450D"
"2651" "BnaA03g22430D" "BnaCnng30150D" "BnaC07g30010D" "BnaA09g05100D"
"2652" "BnaA03g55530D" "BnaCnng10590D" "BnaC03g46100D" "BnaA03g22430D"
"2653" "BnaCnng03900D" "BnaC02g31140D" "BnaC03g00120D" "BnaC03g05120D"
"2654" "BnaC09g39500D" "BnaC03g26320D" "BnaA06g24940D" "BnaC01g44010D"
"2655" "BnaA06g34700D" "BnaC09g36480D" "BnaA05g32560D" "BnaA10g24140D"
"2656" "BnaC05g39440D" "BnaC08g02810D" "BnaC06g40220D" "BnaC07g03750D"
"2657" "BnaA10g16790D" "BnaC07g13770D" "BnaC04g30500D" "BnaC06g26620D"
"2658" "BnaA06g10090D" "BnaCnng71030D" "BnaC03g36020D" "BnaA02g03850D"
"2659" "BnaC08g43580D" "BnaC08g46030D" "BnaAnng33900D" "BnaA02g10900D"
"2660" "BnaAnng05580D" "BnaA04g24360D" "BnaA04g29030D" "BnaA10g25350D"
"2661" "BnaC01g05750D" "BnaC07g10250D" "BnaA03g31750D" "BnaA03g25620D"
"2662" "BnaC01g38380D" "BnaA03g31750D" "BnaA05g03210D" "BnaC02g29440D"
"2663" "BnaC08g26180D" "BnaC09g39160D" "BnaA10g14980D" "BnaA01g12510D"
"2664" "BnaC02g06420D" "BnaA02g35170D" "BnaC03g04580D" "BnaA09g04140D"
"2665" "BnaC02g05290D" "BnaA02g00450D" "BnaC05g14370D" "BnaA07g09580D"
"2666" "BnaA09g55370D" "BnaC06g10090D" "BnaAnng09400D" "BnaCnng69670D"
"2667" "BnaA03g02620D" "BnaA03g18810D" "BnaC01g10240D" "BnaC03g01690D"
"2668" "BnaA05g10660D" "BnaA08g08170D" "BnaC02g20760D" "BnaA04g04980D"
"2669" "BnaA09g14680D" "BnaC03g05000D" "BnaA07g29260D" "BnaC02g28250D"
"2670" "BnaA10g15990D" "BnaC03g78020D" "BnaC05g13500D" "BnaA03g00210D"
"2671" "BnaC09g00180D" "BnaC02g44800D" "BnaC04g53510D" "BnaA06g25790D"
"2672" "BnaC08g40320D" "BnaA09g10190D" "BnaC02g31140D" "BnaC03g00050D"
"2673" "BnaA03g18530D" "BnaA08g00090D" "BnaC03g30230D" "BnaA09g03800D"
"2674" "BnaA03g32290D" "BnaC08g43710D" "BnaC09g18440D" "BnaC05g26540D"
"2675" "BnaC08g45040D" "BnaA08g29710D" "BnaC06g20080D" "BnaC05g48220D"
"2676" "BnaA05g31170D" "BnaC04g29010D" "BnaA03g45240D" "BnaA02g04600D"
"2677" "BnaC05g01340D" "BnaA06g24740D" "BnaC07g20970D" "BnaC09g38700D"
"2678" "BnaA07g28200D" "BnaC01g40070D" "BnaAnng09550D" "BnaC01g03250D"
"2679" "BnaA03g02910D" "BnaA02g25020D" "BnaC03g23190D" "BnaC04g05660D"
"2680" "BnaCnng03470D" "BnaC03g12530D" "BnaC03g28190D" "BnaC03g12530D"
"2681" "BnaA03g47240D" "BnaA01g35820D" "BnaC04g06320D" "BnaC02g00470D"
"2682" "BnaA06g18900D" "BnaC03g04680D" "BnaC09g26550D" "BnaA10g12150D"
"2683" "BnaC03g03740D" "BnaC05g19490D" "BnaA01g18940D" "BnaC01g38670D"
"2684" "BnaA09g47770D" "BnaC03g41010D" "BnaC08g02810D" "BnaAnng33020D"
"2685" "BnaA04g21400D" "BnaC03g11930D" "BnaA03g15520D" "BnaA08g00110D"
"2686" "BnaA03g02450D" "BnaC02g00430D" "BnaA03g17990D" "BnaA03g56440D"
"2687" "BnaC02g01880D" "BnaC06g40430D" "BnaC04g04450D" "BnaA09g10190D"
"2688" "BnaA04g13060D" "BnaA02g03020D" "BnaA03g00890D" "BnaA04g24580D"
"2689" "BnaA02g01810D" "BnaC01g32060D" "BnaC01g03130D" "BnaC09g38030D"
"2690" "BnaAnng19910D" "BnaA08g06940D" "BnaC09g50340D" "BnaA01g05230D"
"2691" "BnaA03g37260D" "BnaC07g25650D" "BnaA01g25240D" "BnaA03g02450D"
"2692" "BnaA09g36170D" "BnaC02g28290D" "BnaC04g44270D" "BnaC05g48440D"
"2693" "BnaA02g18220D" "BnaA03g55530D" "BnaA03g29500D" "BnaA09g06690D"
"2694" "BnaC05g48780D" "BnaC03g75700D" "BnaA07g20130D" "BnaA10g23360D"
"2695" "BnaA02g30180D" "BnaC02g45010D" "BnaA02g02630D" "BnaAnng28080D"
"2696" "BnaA10g27340D" "BnaA09g42030D" "BnaC06g40310D" "BnaA01g12860D"
"2697" "BnaA03g52480D" "BnaA03g04230D" "BnaA04g24050D" "BnaAnng32230D"
"2698" "BnaA10g23360D" "BnaA04g14000D" "BnaC06g09760D" "BnaA08g10020D"
"2699" "BnaC03g66990D" "BnaC03g72270D" "BnaCnng10590D" "BnaAnng22960D"
"2700" "BnaC02g44220D" "BnaA07g19340D" "BnaAnng22680D" "BnaCnng03380D"
"2701" "BnaC04g33990D" "BnaA03g26820D" "BnaA10g26020D" "BnaA03g31400D"
"2702" "BnaC09g50860D" "BnaC01g38670D" "BnaC01g16100D" "BnaAnng31260D"
"2703" "BnaA01g19700D" "BnaA04g23660D" "BnaA08g16800D" "BnaA02g02140D"
"2704" "BnaA06g22330D" "BnaC03g36850D" "BnaC02g08570D" "BnaC02g06990D"
"2705" "BnaA03g45020D" "BnaC03g20960D" "BnaA01g03420D" "BnaA01g21980D"
"2706" "BnaA01g29050D" "BnaC03g19450D" "BnaCnng05830D" "BnaA07g25940D"
"2707" "BnaC02g22610D" "BnaA02g09210D" "BnaA09g04800D" "BnaA01g14940D"
"2708" "BnaC03g42180D" "BnaAnng34280D" "BnaCnng30150D" "BnaA07g20450D"
"2709" "BnaA07g01600D" "BnaC01g30550D" "BnaA03g23900D" "BnaC02g01880D"
"2710" "BnaAnng24530D" "BnaA02g12030D" "BnaUnng00070D" "BnaA07g17520D"
"2711" "BnaC03g57080D" "BnaC02g02620D" "BnaC08g36760D" "BnaA10g25540D"
"2712" "BnaA09g29450D" "BnaC08g45170D" "BnaA04g04150D" "BnaCnng02650D"
"2713" "BnaAnng04700D" "BnaCnng23280D" "BnaC03g04070D" "BnaC03g28190D"
"2714" "BnaC05g48870D" "BnaA01g22010D" "BnaCnng05510D" "BnaA08g23730D"
"2715" "BnaC06g26620D" "BnaAnng36470D" "BnaA01g20340D" "BnaC04g26490D"
"2716" "BnaC06g23970D" "BnaC02g39130D" "BnaCnng71740D" "BnaA03g25880D"
"2717" "BnaC05g24280D" "BnaCnng31960D" "BnaA01g09840D" "BnaA01g05280D"
"2718" "BnaC08g27900D" "BnaA10g27610D" "BnaC01g00820D" "BnaA06g21280D"
"2719" "BnaA01g22940D" "BnaAnng10430D" "BnaC09g06330D" "BnaA02g03110D"
"2720" "BnaAnng40490D" "BnaAnng19390D" "BnaA02g24830D" "BnaC03g05240D"
"2721" "BnaC04g55380D" "BnaC02g34580D" "BnaC03g75700D" "BnaC02g41920D"
"2722" "BnaA03g42540D" "BnaC05g13500D" "BnaA08g23730D" "BnaA03g05520D"
"2723" "BnaC07g03580D" "BnaC03g07870D" "BnaC08g03130D" "BnaA03g39260D"
"2724" "BnaC03g42730D" "BnaCnng24960D" "BnaA02g18010D" "BnaC06g41940D"
"2725" "BnaA09g01150D" "BnaA01g14510D" "BnaC07g13770D" "BnaC05g19490D"
"2726" "BnaC08g02820D" "BnaA07g33860D" "BnaA09g43200D" "BnaC08g26210D"
"2727" "BnaA10g30560D" "BnaC08g43580D" "BnaA09g01280D" "BnaA09g04850D"
"2728" "BnaC01g15210D" "BnaA09g00650D" "BnaA04g07330D" "BnaA09g08870D"
"2729" "BnaA05g32300D" "BnaA07g26020D" "BnaA09g23990D" "BnaC06g23970D"
"2730" "BnaA03g00890D" "BnaAnng04770D" "BnaA04g18340D" "BnaC02g22400D"
"2731" "BnaC02g45710D" "BnaC04g33990D" "BnaC07g06980D" "BnaC09g53580D"
"2732" "BnaA04g06480D" "BnaA01g25240D" "BnaA02g01970D" "BnaA02g34960D"
"2733" "BnaA07g33860D" "BnaC06g15880D" "BnaC09g36560D" "BnaCnng36930D"
"2734" "BnaC08g46030D" "BnaC08g25060D" "BnaC02g02220D" "BnaC03g69580D"
"2735" "BnaA04g20040D" "BnaA02g13340D" "BnaA09g49550D" "BnaA03g59890D"
"2736" "BnaA06g39740D" "BnaC03g05080D" "BnaC08g13870D" "BnaC02g24000D"
"2737" "BnaA10g00320D" "BnaA09g57180D" "BnaA03g22430D" "BnaC07g05450D"
"2738" "BnaA10g17000D" "BnaA09g49550D" "BnaC06g19610D" "BnaC08g45340D"
"2739" "BnaCnng01110D" "BnaA06g10480D" "BnaC03g25610D" "BnaCnng50190D"
"2740" "BnaAnng15960D" "BnaA09g47240D" "BnaC02g26420D" "BnaC04g03750D"
"2741" "BnaA08g29450D" "BnaA04g21430D" "BnaC03g12530D" "BnaA02g00910D"
"2742" "BnaA06g31180D" "BnaA02g00910D" "BnaA06g07510D" "BnaC05g13870D"
"2743" "BnaA05g32580D" "BnaA03g54920D" "BnaA01g01550D" "BnaC04g50470D"
"2744" "BnaA03g31400D" "BnaC06g40530D" "BnaC06g16500D" "BnaA10g05780D"
"2745" "BnaCnng28110D" "BnaA01g27740D" "BnaC02g42660D" "BnaC02g16480D"
"2746" "BnaA01g01500D" "BnaAnng21170D" "BnaC03g19450D" "BnaA06g19910D"
"2747" "BnaA06g38090D" "BnaC02g00010D" "BnaA05g33510D" "BnaC08g44850D"
"2748" "BnaA03g00250D" "BnaC03g02980D" "BnaA10g15990D" "BnaUnng04820D"
"2749" "BnaA03g15540D" "BnaA01g21980D" "BnaC02g08110D" "BnaA04g16170D"
"2750" "BnaA04g25480D" "BnaA05g33310D" "BnaA06g10440D" "BnaA10g02080D"
"2751" "BnaA08g29990D" "BnaA09g04340D" "BnaC03g27200D" "BnaA07g34770D"
"2752" "BnaA04g09110D" "BnaC03g30340D" "BnaC02g08580D" "BnaA01g29080D"
"2753" "BnaC01g15510D" "BnaA05g32300D" "BnaC09g11600D" "BnaA03g25540D"
"2754" "BnaC03g08240D" "BnaC02g29440D" "BnaA09g14150D" "BnaC09g22090D"
"2755" "BnaC09g37480D" "BnaC07g48400D" "BnaA07g10030D" "BnaC07g15040D"
"2756" "BnaC08g37140D" "BnaC03g21280D" "BnaA01g11960D" "BnaA03g26930D"
"2757" "BnaCnng45310D" "BnaAnng09770D" "BnaC02g05930D" "BnaC09g25710D"
"2758" "BnaA02g10990D" "BnaA03g37820D" "BnaC05g10680D" "BnaA06g24940D"
"2759" "BnaA02g00470D" "BnaA06g37670D" "BnaA02g25020D" "BnaC05g01980D"
"2760" "BnaC05g19490D" "BnaC01g10790D" "BnaA10g02940D" "BnaA09g43120D"
"2761" "BnaC07g03750D" "BnaC03g51200D" "BnaC01g38990D" "BnaA07g17530D"
"2762" "BnaC02g05530D" "BnaA09g15430D" "BnaC09g02350D" "BnaC08g02360D"
"2763" "BnaC01g20730D" "BnaAnng17970D" "BnaAnng39740D" "BnaC02g00430D"
"2764" "BnaC02g00430D" "BnaA05g26870D" "BnaC02g42720D" "BnaC08g27900D"
"2765" "BnaC04g13230D" "BnaA01g18940D" "BnaA03g11290D" "BnaA06g31180D"
"2766" "BnaA09g25890D" "BnaA09g23990D" "BnaC03g33900D" "BnaA06g18180D"
