"100bp_paired" "50bp_paired" "100bp_single" "50bp_single"
"110" "BnaCnng19090D" "BnaC02g02830D" "BnaC03g03400D" "BnaAnng35880D"
"111" "BnaC09g24280D" "BnaCnng33970D" "BnaC05g48240D" "BnaA09g00790D"
"112" "BnaA07g07430D" "BnaA09g00910D" "BnaCnng02820D" "BnaC06g28140D"
"113" "BnaC03g03630D" "BnaC02g17030D" "BnaA10g27180D" "BnaA06g12970D"
"114" "BnaCnng19150D" "BnaC08g04100D" "BnaAnng29400D" "BnaA09g52160D"
"115" "BnaCnng02820D" "BnaCnng05940D" "BnaCnng02900D" "BnaC02g17030D"
"116" "BnaC06g33130D" "BnaA09g01630D" "BnaCnng11360D" "BnaA10g27180D"
"117" "BnaC09g00020D" "BnaAnng35880D" "BnaC02g05900D" "BnaC06g20990D"
"118" "BnaC09g38570D" "BnaC02g48850D" "BnaC03g07200D" "BnaC02g05520D"
"119" "BnaC02g47920D" "BnaC02g06060D" "BnaC01g38270D" "BnaC08g44740D"
"120" "BnaA10g27720D" "BnaC03g05220D" "BnaA06g12970D" "BnaC02g02700D"
"121" "BnaC02g42110D" "BnaA04g06860D" "BnaC02g04850D" "BnaCnng11360D"
"122" "BnaC04g13920D" "BnaCnng03080D" "BnaC09g50570D" "BnaC03g03560D"
"123" "BnaA04g06860D" "BnaA09g01080D" "BnaA09g01010D" "BnaCnng41700D"
"124" "BnaA06g03320D" "BnaC09g24280D" "BnaCnng25300D" "BnaC03g71310D"
"125" "BnaCnng62780D" "BnaC03g00040D" "BnaC02g02830D" "BnaC03g03130D"
"126" "BnaC02g05210D" "BnaC02g04850D" "BnaA09g52160D" "BnaC03g03400D"
"127" "BnaA10g16560D" "BnaC08g43810D" "BnaC02g05110D" "BnaC02g06320D"
"128" "BnaA06g03570D" "BnaCnng19150D" "BnaC09g03500D" "BnaC02g41620D"
"129" "BnaCnng45410D" "BnaA09g00790D" "BnaC02g01650D" "BnaCnng19130D"
"130" "BnaC09g03500D" "BnaA07g06900D" "BnaC08g45610D" "BnaA06g03570D"
"131" "BnaC04g13900D" "BnaC09g39490D" "BnaC03g05220D" "BnaCnng25180D"
"132" "BnaA10g27160D" "BnaC03g03560D" "BnaCnng05940D" "BnaA07g07430D"
"133" "BnaA09g00890D" "BnaA09g00830D" "BnaA09g01200D" "BnaC03g02860D"
"134" "BnaCnng05240D" "BnaA09g31270D" "BnaC02g41620D" "BnaC02g05900D"
"135" "BnaA10g27670D" "BnaC02g03070D" "BnaA09g00910D" "BnaA10g27670D"
"136" "BnaCnng40620D" "BnaCnng41700D" "BnaA09g00840D" "BnaCnng02820D"
"137" "BnaA07g30390D" "BnaC09g02950D" "BnaC08g44440D" "BnaAnng17980D"
"138" "BnaC08g43810D" "BnaC02g06390D" "BnaC08g43810D" "BnaC02g05870D"
"139" "BnaC08g07080D" "BnaA09g01290D" "BnaA10g27670D" "BnaCnng25300D"
"140" "BnaC02g05310D" "BnaCnng03110D" "BnaC03g02860D" "BnaCnng03110D"
"141" "BnaC02g02700D" "BnaC03g71310D" "BnaA03g43580D" "BnaC01g18730D"
"142" "BnaAnng00510D" "BnaC02g05900D" "BnaC09g02700D" "BnaA10g24340D"
"143" "BnaA09g52350D" "BnaA09g01010D" "BnaC02g03070D" "BnaCnng19150D"
"144" "BnaA09g01640D" "BnaC09g50590D" "BnaA09g00790D" "BnaC01g38650D"
"145" "BnaA10g27180D" "BnaA03g43580D" "BnaA09g00830D" "BnaA09g20730D"
"146" "BnaA06g02870D" "BnaC09g01740D" "BnaC04g13920D" "BnaC09g02920D"
"147" "BnaC09g00010D" "BnaC02g05870D" "BnaC01g01660D" "BnaC08g45510D"
"148" "BnaCnng25180D" "BnaC08g44740D" "BnaC03g71310D" "BnaA09g01010D"
"149" "BnaA09g38100D" "BnaCnng25300D" "BnaA09g01250D" "BnaC08g45000D"
"150" "BnaC02g06060D" "BnaC02g02560D" "BnaCnng05930D" "BnaCnng10600D"
"151" "BnaC03g15890D" "BnaCnng11360D" "BnaC02g02570D" "BnaCnng05940D"
"152" "BnaC03g08930D" "BnaCnng62780D" "BnaC02g17030D" "BnaC09g00010D"
"153" "BnaC02g05110D" "BnaA09g01250D" "BnaC02g05870D" "BnaC02g01650D"
"154" "BnaC02g07710D" "BnaC02g05520D" "BnaC09g02870D" "BnaCnng03930D"
"155" "BnaC08g00310D" "BnaCnng44780D" "BnaC09g02910D" "BnaC03g03390D"
"156" "BnaC02g04850D" "BnaC04g13900D" "BnaC08g44740D" "BnaC02g42880D"
"157" "BnaA03g22720D" "BnaC02g41620D" "BnaCnng23020D" "BnaC08g04100D"
"158" "BnaCnng10510D" "BnaC05g48240D" "BnaC02g06980D" "BnaC04g13900D"
"159" "BnaA01g07750D" "BnaCnng29150D" "BnaCnng03080D" "BnaC08g45360D"
"160" "BnaA10g27250D" "BnaC08g44900D" "BnaC03g03560D" "BnaA03g55600D"
"161" "BnaCnng28710D" "BnaC03g28370D" "BnaC03g00040D" "BnaC08g44880D"
"162" "BnaA09g01470D" "BnaCnng10600D" "BnaC08g44480D" "BnaA09g00910D"
"163" "BnaA09g01570D" "BnaC09g02920D" "BnaCnng40620D" "BnaC08g44380D"
"164" "BnaCnng29150D" "BnaCnng05840D" "BnaC02g05520D" "BnaC02g05310D"
"165" "BnaA10g24340D" "BnaC09g00010D" "BnaC02g42110D" "BnaC09g02870D"
"166" "BnaCnng03930D" "BnaC02g02880D" "BnaCnng40400D" "BnaCnng42830D"
"167" "BnaC08g44450D" "BnaA10g24340D" "BnaC06g28140D" "BnaA09g52210D"
"168" "BnaCnng05930D" "BnaC04g35900D" "BnaA06g09750D" "BnaA02g25430D"
"169" "BnaCnng05860D" "BnaA07g07430D" "BnaC03g28370D" "BnaC02g02070D"
"170" "BnaC05g32640D" "BnaCnng40620D" "BnaC08g50140D" "BnaCnng40620D"
"171" "BnaC08g45540D" "BnaC03g03130D" "BnaC02g02880D" "BnaC08g44480D"
"172" "BnaA05g16860D" "BnaC02g02700D" "BnaC04g13900D" "BnaA09g01290D"
"173" "BnaC04g54830D" "BnaC02g02570D" "BnaC09g50160D" "BnaC04g00920D"
"174" "BnaC09g02820D" "BnaC09g03500D" "BnaC01g18730D" "BnaCnng03090D"
"175" "BnaC02g40770D" "BnaC08g45510D" "BnaC03g03130D" "BnaC02g02560D"
"176" "BnaA09g01250D" "BnaAnng35930D" "BnaCnng44780D" "BnaC09g50570D"
"177" "BnaC02g06390D" "BnaA09g52350D" "BnaA07g07430D" "BnaA09g38100D"
"178" "BnaC09g50640D" "BnaA10g27160D" "BnaC09g02920D" "BnaCnng05860D"
"179" "BnaA09g52160D" "BnaA06g03320D" "BnaC09g00010D" "BnaA09g01390D"
"180" "BnaCnng40400D" "BnaC04g13920D" "BnaCnng25180D" "BnaC02g06980D"
"181" "BnaC02g42880D" "BnaC08g44440D" "BnaC02g02700D" "BnaCnng10510D"
"182" "BnaC02g25110D" "BnaA10g27670D" "BnaC08g45510D" "BnaA10g16560D"
"183" "BnaC08g45510D" "BnaC01g18730D" "BnaC09g39300D" "BnaCnng03080D"
"184" "BnaC02g05520D" "BnaCnng25180D" "BnaC08g44370D" "BnaA07g06900D"
"185" "BnaC03g00040D" "BnaC08g44370D" "BnaCnng10510D" "BnaA02g07650D"
"186" "BnaC02g03460D" "BnaC08g44480D" "BnaA07g06900D" "BnaC09g39300D"
"187" "BnaA03g55600D" "BnaC03g02860D" "BnaA10g27160D" "BnaA10g27160D"
"188" "BnaC01g38270D" "BnaC09g02870D" "BnaCnng03930D" "BnaC09g01810D"
"189" "BnaC08g41170D" "BnaC09g50640D" "BnaA06g03320D" "BnaC02g05850D"
"190" "BnaC03g01790D" "BnaA09g52210D" "BnaCnng29150D" "BnaC08g44450D"
"191" "BnaC03g04500D" "BnaC08g07080D" "BnaCnng10600D" "BnaC08g46750D"
"192" "BnaC02g06120D" "BnaC06g28140D" "BnaAnng35930D" "BnaC02g26350D"
"193" "BnaC03g00340D" "BnaC02g01650D" "BnaC09g01740D" "BnaCnng03210D"
"194" "BnaCnng03150D" "BnaCnng40400D" "BnaA07g15090D" "BnaC08g44760D"
"195" "BnaA05g31340D" "BnaCnng18930D" "BnaC08g44880D" "BnaC08g45540D"
"196" "BnaC02g35320D" "BnaUnng01760D" "BnaC02g42880D" "BnaC02g39680D"
"197" "BnaUnng01760D" "BnaCnng45410D" "BnaC04g35900D" "BnaA06g20500D"
"198" "BnaC02g39910D" "BnaC05g46160D" "BnaC03g03000D" "BnaC02g06690D"
"199" "BnaA04g06410D" "BnaC03g03390D" "BnaC03g03390D" "BnaA06g02870D"
"200" "BnaC09g39460D" "BnaAnng00510D" "BnaCnng62780D" "BnaCnng23020D"
"201" "BnaCnng03280D" "BnaC09g50160D" "BnaA10g27720D" "BnaCnng02600D"
"202" "BnaC02g28840D" "BnaA06g03570D" "BnaA09g52210D" "BnaA07g30390D"
"203" "BnaCnng03100D" "BnaC02g07400D" "BnaC02g05730D" "BnaC08g44900D"
"204" "BnaC08g46750D" "BnaC02g35320D" "BnaC08g44450D" "BnaC08g50140D"
"205" "BnaA09g00790D" "BnaC03g02850D" "BnaC02g02560D" "BnaC02g47920D"
"206" "BnaA09g01290D" "BnaA08g09570D" "BnaC08g45360D" "BnaC03g00320D"
"207" "BnaCnng01150D" "BnaA10g27430D" "BnaC02g06120D" "BnaA04g11070D"
"208" "BnaCnng20070D" "BnaC02g05730D" "BnaC08g07080D" "BnaCnng03280D"
"209" "BnaC02g00120D" "BnaC09g02820D" "BnaC02g05310D" "BnaC03g01750D"
"210" "BnaC04g54820D" "BnaC02g06120D" "BnaC08g43770D" "BnaA09g01220D"
"211" "BnaA02g04220D" "BnaCnng03090D" "BnaC08g45770D" "BnaC04g35900D"
"212" "BnaC09g02920D" "BnaC02g47920D" "BnaC02g03380D" "BnaC08g44370D"
"213" "BnaC03g02030D" "BnaC02g02070D" "BnaC09g02820D" "BnaC09g50470D"
"214" "BnaA07g15090D" "BnaCnng42830D" "BnaCnng03090D" "BnaC04g54820D"
"215" "BnaA10g27430D" "BnaC01g01660D" "BnaA06g03570D" "BnaCnng05840D"
"216" "BnaC08g45000D" "BnaC03g71110D" "BnaA06g02870D" "BnaC02g40770D"
"217" "BnaC08g44370D" "BnaA10g16560D" "BnaCnng42580D" "BnaC02g01270D"
"218" "BnaAnng02130D" "BnaA03g22720D" "BnaC02g02070D" "BnaC09g02700D"
"219" "BnaC09g03120D" "BnaC08g44450D" "BnaA10g16560D" "BnaC08g44330D"
"220" "BnaCnng44780D" "BnaA06g02870D" "BnaA10g27500D" "BnaC01g00760D"
"221" "BnaCnng10600D" "BnaCnng05860D" "BnaC09g50530D" "BnaC02g03460D"
"222" "BnaC02g06980D" "BnaA09g38100D" "BnaC05g32640D" "BnaC02g05210D"
"223" "BnaC04g05650D" "BnaA05g16860D" "BnaCnng03110D" "BnaC02g42110D"
"224" "BnaC06g25090D" "BnaC02g26350D" "BnaCnng18930D" "BnaA05g16860D"
"225" "BnaC02g42340D" "BnaAnng13090D" "BnaC09g50640D" "BnaA09g01640D"
"226" "BnaA03g42190D" "BnaCnng03930D" "BnaC02g26350D" "BnaCnng03150D"
"227" "BnaCnng03110D" "BnaC08g45540D" "BnaUnng01760D" "BnaA01g07750D"
"228" "BnaC02g39680D" "BnaCnng10510D" "BnaCnng05240D" "BnaC08g43770D"
"229" "BnaC02g05710D" "BnaC08g43770D" "BnaC02g05710D" "BnaCnng05240D"
"230" "BnaC01g38600D" "BnaC02g05850D" "BnaC02g05850D" "BnaCnng41690D"
"231" "BnaC03g01450D" "BnaC02g05710D" "BnaC02g06390D" "BnaA10g27500D"
"232" "BnaA10g19980D" "BnaCnng05240D" "BnaA09g01290D" "BnaC06g37920D"
"233" "BnaA06g40230D" "BnaA01g07750D" "BnaC03g02850D" "BnaA10g23530D"
"234" "BnaC08g04100D" "BnaA02g02140D" "BnaC03g04670D" "BnaCnng42580D"
"235" "BnaCnng05840D" "BnaC09g02860D" "BnaA10g24340D" "BnaC04g13920D"
"236" "BnaC02g05850D" "BnaCnng02900D" "BnaA03g22720D" "BnaA02g25070D"
"237" "BnaCnng29070D" "BnaC08g44380D" "BnaAnng17980D" "BnaC09g50160D"
"238" "BnaCnng23020D" "BnaA09g01390D" "BnaC09g38570D" "BnaC02g05710D"
"239" "BnaA06g20500D" "BnaA10g27720D" "BnaA09g01220D" "BnaC08g45770D"
"240" "BnaCnng10160D" "BnaA10g27390D" "BnaA05g16860D" "BnaC02g05120D"
"241" "BnaC06g11400D" "BnaC03g71320D" "BnaA10g27390D" "BnaC03g00040D"
"242" "BnaC03g03390D" "BnaC02g40770D" "BnaA09g52350D" "BnaC08g43620D"
"243" "BnaAnng13090D" "BnaA03g55600D" "BnaA08g09570D" "BnaCnng19120D"
"244" "BnaCnng19100D" "BnaA09g00810D" "BnaC02g05210D" "BnaC01g35930D"
