"","logFC","logCPM","LR","PValue","FDR"
"BnaUnng02770D",-10.2296062225221,3.52215462762779,169.10974978552,1.15773439054944e-38,8.5480446460581e-36
"BnaA10g27420D",-10.7746228103512,3.98282754994029,168.791497973715,1.3586912297543e-38,9.89622953953065e-36
"BnaC02g04850D",-8.21787366512494,3.43035931173989,168.550436197541,1.53381662115528e-38,1.10228242751532e-35
"BnaC07g15150D",-11.1405064103883,4.64754561035222,168.164450507341,1.86243560510495e-38,1.3208344299941e-35
"BnaCnng19100D",-10.5356965931937,3.66547509198904,167.802480819843,2.23431540716372e-38,1.5639917679314e-35
"BnaA09g00840D",11.1182409306193,4.29758818102527,167.746177179193,2.29849037461379e-38,1.58828631668345e-35
"BnaC01g38270D",9.04027371724752,5.59654570571296,167.636914246268,2.42833545813565e-38,1.65677028934245e-35
"BnaC04g17110D",-11.6351089243774,4.93614966307481,167.124462900928,3.14226767278226e-38,2.11706356619114e-35
"BnaC03g07200D",8.05524148367178,4.86671600895729,166.086176779941,5.29714222952042e-38,3.52482307443112e-35
"BnaC02g42580D",-8.03693921958545,4.66076828136485,165.717192763972,6.37738742279866e-38,4.1918878622125e-35
"BnaA09g01380D",7.53875905950665,3.5041508761447,165.400824248566,7.47741410058265e-38,4.85572460972656e-35
"BnaC04g50590D",-7.40091600658219,5.58947122639136,164.726410558664,1.04972437936206e-37,6.73560646705184e-35
"BnaA09g00900D",8.0009139317408,5.2671332119243,164.448747627787,1.20706604488912e-37,7.61550847986205e-35
"BnaA09g01470D",7.359922681081,4.89174154537414,164.435538253391,1.21511295064498e-37,7.61550847986205e-35
"BnaC09g00040D",-10.203979659321,3.64021165477525,163.010188872005,2.48883086111448e-37,1.54190223658861e-34
"BnaC02g05000D",-8.37196362784525,3.89617833585187,162.954794119944,2.55915815627006e-37,1.56745528937273e-34
"BnaA05g11340D",-8.29187201432694,3.54227863393383,162.802322104554,2.76316522363828e-37,1.6733914875155e-34
"BnaA09g00770D",8.98593225106979,4.30791842480409,162.650360282609,2.98267070309135e-37,1.78625520251023e-34
"BnaC09g24280D",10.8160446849131,4.10281972082529,162.044241940443,4.04597555128811e-37,2.39641798064701e-34
"BnaC06g31560D",-5.09064523147867,4.30631464040362,161.721113508161,4.76012048231087e-37,2.78875797691384e-34
"BnaC02g02830D",-8.82043476580731,4.12071507315225,161.617722704096,5.01425222505461e-37,2.9060557062174e-34
"BnaCnng02680D",7.66242558389634,3.93015106136485,161.521075578054,5.26406405034373e-37,3.01838072605826e-34
"BnaA09g00830D",7.90720494267035,3.80438034813713,160.69965128457,7.95765267790313e-37,4.51483707038211e-34
"BnaAnng29400D",8.2430058253219,3.37479787477088,159.930946357782,1.17148233805363e-36,6.57726318112005e-34
"BnaC09g01740D",9.9622024321508,3.82692674042418,159.783877061504,1.26144636223274e-36,7.00935025546211e-34
"BnaC02g03070D",-8.00058662627464,3.96396210588731,159.761767979952,1.27555561336483e-36,7.01542571477049e-34
"BnaC03g28370D",10.2006315340432,3.35827209846667,159.723299079533,1.30048237812948e-36,7.08027269684857e-34
"BnaAnng23410D",7.09712893653099,4.84492059626711,159.654994409119,1.34594835360037e-36,7.25452703107064e-34
"BnaA09g00880D",8.03192734877383,4.22902443175393,159.434818809259,1.50360909434695e-36,8.02406203724812e-34
"BnaA09g01250D",8.00712462189465,5.06619805578512,158.70758003423,2.16787123082782e-36,1.14554991637636e-33
"BnaA04g06860D",-8.48771637426575,3.82492346713337,158.445035075064,2.47399897400622e-36,1.29462204563069e-33
"BnaC08g44800D",-6.9975966510057,3.72545948987793,157.671031624943,3.65193083084798e-36,1.89264826780649e-33
"BnaC09g03500D",10.1668440989653,3.37848431083246,156.7436397268,5.82328873955568e-36,2.98923275974582e-33
"BnaC08g44440D",-10.1213435249194,3.31153876134118,156.679522044932,6.01421635797972e-36,3.05811554225235e-33
"BnaC03g71330D",9.9203290535163,3.35878921782467,156.631198205488,6.1622397451151e-36,3.10409869179401e-33
"BnaA02g27900D",8.2115295573738,3.57244266476984,156.515823194989,6.53055339496057e-36,3.25916942069426e-33
"BnaC05g46160D",-10.5466612069671,3.88739735052,155.472277800648,1.10404704021449e-35,5.45936068078172e-33
"BnaAnng35880D",-6.52308017989433,3.84233634418964,155.365422278339,1.16503344583945e-35,5.70855797248187e-33
"BnaA09g00790D",8.69182773872187,4.83317274229846,154.832350675986,1.52345778535937e-35,7.39755415973735e-33
"BnaC06g28140D",-9.01466824590768,4.46028609653569,154.663408304387,1.65863142906739e-35,7.98201566029494e-33
"BnaA06g12970D",7.81577746492346,4.22103544225433,154.585474462792,1.72496816272371e-35,8.22779283209251e-33
"BnaA09g52160D",7.95502591179102,3.01391018994529,154.272074397222,2.0196224729399e-35,9.52107784428314e-33
"BnaC02g17030D",8.02815248631141,3.19780200041232,154.260483444327,2.03143648693401e-35,9.52107784428314e-33
"BnaA10g27180D",-9.9105161855058,3.13275076848517,154.027508729235,2.28411064194035e-35,1.06130413353399e-32
"BnaC06g20990D",-8.06903539358588,3.51103324849458,153.878352212632,2.462145971005e-35,1.13424962129229e-32
"BnaC02g05520D",-11.774372332083,4.81491174423742,153.50293198832,2.97412351457546e-35,1.35849392637375e-32
"BnaC08g44740D",-8.41926675782576,3.65804920832423,153.086374874457,3.66771716638189e-35,1.66122930714972e-32
"BnaC02g02700D",-10.054476713977,3.03914093572323,152.97787568546,3.87354088892401e-35,1.73983316976762e-32
"BnaCnng11360D",7.23560106742653,4.48966342958211,152.532172525874,4.84748980894883e-35,2.1592963075416e-32
"BnaC03g03560D",6.55577653431614,4.00559742576039,152.494440938296,4.94041298310995e-35,2.18265015882494e-32
"BnaCnng41700D",6.53215288701449,4.35754030525662,152.238564671379,5.61935033336905e-35,2.46241759039234e-32
"BnaC03g71310D",9.96302601701982,3.0620703367714,151.616338562698,7.68561790890483e-35,3.3407025780005e-32
"BnaC03g03130D",8.62912747344207,3.72799936249284,151.413778093513,8.51041678410731e-35,3.6696236339728e-32
"BnaC03g03400D",5.05835884743684,4.21279567400119,151.166472418078,9.6383565682598e-35,4.12299825930663e-32
"BnaC02g06320D",-10.3615450638236,3.81375651263554,150.864629238642,1.12195609019956e-34,4.76159931540677e-32
"BnaC02g41620D",-8.46046365621133,3.79934619325087,150.091639859025,1.6555011210261e-34,6.97108241579575e-32
"BnaCnng19130D",-8.40041463307803,5.13268883661259,149.931866401328,1.79412268260745e-34,7.49623398991153e-32
"BnaA06g03570D",8.51847840432354,6.46638352565021,149.33958881157,2.4171965043765e-34,1.00218826453376e-31
"BnaCnng25180D",-8.01652286985193,3.20219357387359,149.232148018701,2.55150652280879e-34,1.0497988555181e-31
"BnaA07g07430D",-7.49403576117859,4.30314987476723,148.972952950422,2.90705171157632e-34,1.1870240924413e-31
"BnaC03g02860D",7.14602600911115,3.34118997798529,148.498447011415,3.69125589193927e-34,1.49590226556116e-31
"BnaC02g05900D",-7.0917473739099,3.56115747530555,147.853908169621,5.10582819164096e-34,2.05372413209892e-31
"BnaA10g27670D",-10.6580091766978,3.99711348126552,147.615870176558,5.7557349336029e-34,2.29798783100935e-31
"BnaCnng02820D",10.1499675172299,3.52659637558514,147.469739726009,6.19505058511098e-34,2.45519876093306e-31
"BnaAnng17980D",8.23642916461159,4.15540188370869,147.119672011028,7.38874021792726e-34,2.9069029854457e-31
"BnaC02g05870D",-9.92653799345028,3.12490590998743,146.331490077173,1.09868456210109e-33,4.29115936323814e-31
"BnaCnng25300D",8.4826565257589,4.07760583604224,146.153307856508,1.20178249063807e-33,4.66006291100009e-31
"BnaCnng03110D",8.06973902042256,3.41900119333908,146.032658412122,1.27703123601853e-33,4.91647904215449e-31
"BnaC01g18730D",7.19852350396809,4.82490561299563,145.919645847218,1.35178546020988e-33,5.16736769644343e-31
"BnaA10g24340D",-9.59631789743897,2.62942695334151,145.606515657093,1.58257177204612e-33,6.00697436207842e-31
"BnaCnng19150D",-7.25019501410161,3.4926750784397,145.550394727208,1.62791797525742e-33,6.13588468170627e-31
"BnaC01g38650D",6.34208592692941,3.42068684719453,145.334745180282,1.81458746838924e-33,6.79197569157718e-31
"BnaA09g20730D",6.60638896730776,5.42936832924108,145.24368677626,1.89970108636752e-33,7.06151647269813e-31
"BnaC09g02920D",10.2398597839824,3.33930130726145,144.608123697494,2.6159872113992e-33,9.65747224021956e-31
"BnaC08g45510D",-10.1104367361257,3.22231400060656,143.781094004732,3.96690300509702e-33,1.45450411613418e-30
"BnaA09g01010D",10.0252673936697,3.3745591325845,143.701095478294,4.12992597593868e-33,1.50404648768324e-30
"BnaC08g45000D",-7.63627311053683,2.84338134782652,143.602361456325,4.34039572927846e-33,1.57008717726429e-30
"BnaCnng10600D",7.79137019970934,4.84795740060549,143.508207181232,4.55108735415959e-33,1.63532704867898e-30
"BnaCnng05940D",8.13783479177058,5.03991877426787,143.22062881627,5.2600724558526e-33,1.87756718740397e-30
